dataset,model,model_config,model_name,fraction,unlabeled_ratio,run,epoch,loss,g_loss,d_loss,d_loss_sup,d_loss_unsup,c_loss,accuracy,macro_f1,val_loss,val_accuracy,val_macro_f1,test_loss,test_accuracy,test_macro_f1
mams,baseline,,baseline,0.05,,4,0.0,1.400343894958496,,,,,,0.3116883039474487,0.3048892021179199,1.4994381666183472,0.3021875023841858,0.2432056218385696,1.4895691871643066,0.3037500083446502,0.2411324679851532
mams,baseline,,baseline,0.05,,4,1.0,1.256342887878418,,,,,,0.384740263223648,0.3800637423992157,1.104923129081726,0.6225000023841858,0.3907006978988647,1.086232304573059,0.6309375166893005,0.3981782793998718
mams,baseline,,baseline,0.05,,4,2.0,1.054129123687744,,,,,,0.5194805264472961,0.5119439363479614,1.0070221424102783,0.6612499952316284,0.4840461015701294,0.9773344993591307,0.6659374833106995,0.4852638244628906
mams,baseline,,baseline,0.05,,4,3.0,0.9086719155311584,,,,,,0.5844155550003052,0.581929624080658,0.8740174174308777,0.7087500095367432,0.5286309719085693,0.8433107137680054,0.7184374928474426,0.5362446308135986
mams,baseline,,baseline,0.05,,4,4.0,0.7814000248908997,,,,,,0.6590909361839294,0.6577181816101074,0.906442940235138,0.6771875023841858,0.5277632474899292,0.9102886915206908,0.6756250262260437,0.5198222398757935
mams,baseline,,baseline,0.075,,0,0.0,1.3609415292739868,,,,,,0.3229613602161407,0.321372777223587,1.312098503112793,0.278124988079071,0.2890760004520416,1.311497926712036,0.2884374856948852,0.3075249493122101
mams,baseline,,baseline,0.075,,0,1.0,1.2649400234222412,,,,,,0.4034334719181061,0.4013379514217376,1.2640066146850586,0.4356249868869781,0.3442258536815643,1.2587401866912842,0.442187488079071,0.356294572353363
mams,baseline,,baseline,0.075,,0,2.0,1.1112935543060305,,,,,,0.5300429463386536,0.5169805884361267,1.2249479293823242,0.520312488079071,0.4097182750701904,1.225312113761902,0.5253124833106995,0.4142692387104034
mams,baseline,,baseline,0.075,,0,3.0,0.9790719747543336,,,,,,0.5879828333854675,0.5779789686203003,0.9809083342552184,0.6537500023841858,0.5020841360092163,0.9640791416168212,0.6628124713897705,0.5103648900985718
mams,baseline,,baseline,0.075,,0,4.0,0.846339762210846,,,,,,0.6598712205886841,0.651404082775116,0.9970344305038452,0.6418750286102295,0.4913757145404815,0.9738213419914246,0.6559374928474426,0.5115787386894226
mams,baseline,,baseline,0.075,,1,0.0,1.4026412963867188,,,,,,0.2834008038043976,0.2801726460456848,1.232201337814331,0.6056249737739563,0.3012006878852844,1.2313776016235352,0.606249988079071,0.2978495359420776
mams,baseline,,baseline,0.075,,1,1.0,1.2918100357055664,,,,,,0.4291498064994812,0.4259094595909118,1.072414755821228,0.6937500238418579,0.4416048526763916,1.0662617683410645,0.699999988079071,0.4528998136520386
mams,baseline,,baseline,0.075,,1,2.0,1.1678087711334229,,,,,,0.4929149746894836,0.491386353969574,0.954079806804657,0.7109375,0.489698052406311,0.945073902606964,0.7128124833106995,0.4921143651008606
mams,baseline,,baseline,0.075,,1,3.0,1.057828426361084,,,,,,0.5455465316772461,0.5453954935073853,0.834059476852417,0.7084375023841858,0.500845730304718,0.8240728974342346,0.7225000262260437,0.5210637450218201
mams,baseline,,baseline,0.075,,1,4.0,0.9456939101219176,,,,,,0.6002024412155151,0.5965421199798584,0.8689472079277039,0.6946874856948853,0.5034289360046387,0.863417387008667,0.7012500166893005,0.5140371322631836
mams,baseline,,baseline,0.075,,2,0.0,1.36685311794281,,,,,,0.3372844755649566,0.3358353972434997,1.3585052490234375,0.2581250071525574,0.1985743045806884,1.3590552806854248,0.2640624940395355,0.2069983780384063
mams,baseline,,baseline,0.075,,2,1.0,1.2578957080841064,,,,,,0.4105603396892547,0.3932089209556579,1.1660778522491455,0.4937500059604645,0.3570925593376159,1.1644777059555054,0.4937500059604645,0.3581209778785705
mams,baseline,,baseline,0.075,,2,2.0,1.119551420211792,,,,,,0.5226293206214905,0.515445351600647,1.0383505821228027,0.6387500166893005,0.4801090955734253,1.04340660572052,0.6306250095367432,0.4690421819686889
